;Library;Host;Host_taxid;OTU;NCBI_accession;Habitat;Habitat_labels;Site;Location;Longitude;Latitude;Date;OTU name;Family;NCBI_title;Genome;BLAST_matches
0;PV091;Galium verum;462873;AEV1;NC_029993;Oak;11 - forest or woodland;Q4;Mondéjar;-3.137145;40.345348;['31/5/16', '3/5/17'];Enamovirus 3;Luteoviridae;Alfalfa enamovirus 1;(+)ssRNA;12.0
1;PV059;Tragopogon sp;;AEYV;NC_034207;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
2;PV159;Carduus bourgeanus;1338475;AEYV;NC_034207;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
3;PV182;Lactuca serriola;75943;AEYV;NC_034207;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
4;PV498;Rubia peregrina;29801;AEYV;NC_034207;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Polerovirus 1;Luteoviridae;African eggplant yellowing virus;(+)ssRNA;34.0
5;PV157;Lepidium draba;153317;AGLV;NC_022127;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Ilarvirus 3;Bromoviridae;Ageratum latent virus RNA 1;(+)ssRNA;14.0
6;PV094;Hypericum pubescens;1137014;AhPV1;NC_030889;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Alphapartitivirus 1;Partitiviridae;Arabidopsis halleri partitivirus 1;dsRNA;6.0
7;PV032;Brachypodium retusum;52142;ALaV;MH899120;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
8;PV078;Bromus sp;;ALaV;MH899120;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['4/11/15', '27/10/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
9;PV080;Odontites luteus;691781;ALaV;MH899120;Oak;11 - forest or woodland;Q4;Mondéjar;-3.137145;40.345348;['21/9/15', '27/10/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
10;PV088;Andryala arenaria;1571139;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
11;PV094;Hypericum pubescens;1137014;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
12;PV107;Quercus coccifera;58335;ALaV;MH899120;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
13;PV113;Carduus bourgeanus;1338475;ALaV;MH899120;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
14;PV198;Brachypodium retusum;52142;ALaV;MH899120;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
15;PV200;Chenopodium album;3559;ALaV;MH899120;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
16;PV210;Cynodon dactylon;28909;ALaV;MH899120;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
17;PV380;Dactylis glomerata;4509;ALaV;MH899120;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
18;PV423;Bromus sp;;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
19;PV430;Papaver rhoeas;33128;ALaV;MH899120;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Comovirus;Secoviridae;Arabidopsis latent virus-1 RNA1;(+)ssRNA;52.0
20;PV168;Conyza canadensis;72917;AMCV;NC_001339;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Tombusvirus 1;Tombusviridae;Artichoke mottled crinkle virus;(+)ssRNA;44.0
21;PV313;Centranthus calcitrapae;183940;AMCV;NC_001339;Wasteland;25 - fallow land;E2;San Martín de la Vega;-3.536191;40.234966;['23/5/16', '10/5/17'];Tombusvirus 1;Tombusviridae;Artichoke mottled crinkle virus;(+)ssRNA;44.0
22;PV046;Carduus bourgeanus;1338475;AMMV;NC_027924;Crop;21 - field;Z1;Villaconejos;-3.476076;40.050052;['16/7/15'];Caulimovirus 4;Caulimoviridae;Atractylodes mild mottle virus;dsDNA;2.0
23;PV233;Phalaris minor;222563;AMoV;NC_018176;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Potyvirus 23;Potyviridae;Arracacha mottle virus;(+)ssRNA;2.0
24;PV089;Marrubium vulgare;41230;AMV;NC_002024;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Alfamovirus 1;Bromoviridae;Alfalfa mosaic virus RNA 2;(+)ssRNA;2.0
25;PV257;Desconocida 5;;AMV;NC_002024;Wasteland;25 - fallow land;E3;Ambite;-3.196057;40.089637;['1/2/16', '10/11/16'];Alfamovirus 1;Bromoviridae;Alfalfa mosaic virus RNA 2;(+)ssRNA;2.0
26;PV262;Galium verum;462873;AMV;NC_002024;Wasteland;25 - fallow land;E3;Ambite;-3.196057;40.089637;['1/2/16', '10/11/16'];Alfamovirus 1;Bromoviridae;Alfalfa mosaic virus RNA 2;(+)ssRNA;2.0
27;PV143;Diplotaxis erucoides;3732;AV1;NC_025821;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Potyvirus 1;Potyviridae;Asparagus virus 1;(+)ssRNA;8.0
28;PV212;Amaranthus sp;;BaVG;NC_029906;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 2;Luteoviridae;Barley virus G;(+)ssRNA;20.0
29;PV224;Vicia sp;;BaVG;NC_029906;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 2;Luteoviridae;Barley virus G;(+)ssRNA;20.0
30;PV538;Brassica oleracea;3712;BaVG;NC_029906;Crop;21 - field;C1;Aranjuez;-3.593308;40.051302;['1/2/16'];Polerovirus 2;Luteoviridae;Barley virus G;(+)ssRNA;20.0
31;PV586;Fumaria parviflora;1464625;BaVG;NC_029906;Crop;21 - field;H1;Villaconejos;-3.477574;40.04933;['21/4/16'];Polerovirus 2;Luteoviridae;Barley virus G;(+)ssRNA;20.0
32;PV200;Chenopodium album;3559;BBSV;NC_004452;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Necrovirus 1;Tombusviridae;Beet black scorch virus;(+)ssRNA;86.0
33;PV059;Tragopogon sp;;BChV;NC_002766;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
34;PV116;Daucus sp;;BChV;NC_002766;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
35;PV122;Picris echioides;174463;BChV;NC_002766;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
36;PV128;Vicia sp;;BChV;NC_002766;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
37;PV133;Diplotaxis sp;;BChV;NC_002766;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
38;PV143;Diplotaxis erucoides;3732;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
39;PV146;Malva sylvestris;145754;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
40;PV148;Scandix pecten veneris;;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
41;PV149;Silybum marianum;92921;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
42;PV156;Hirschfeldia incana;71354;BChV;NC_002766;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
43;PV158;Rubia peregrina;29801;BChV;NC_002766;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
44;PV200;Chenopodium album;3559;BChV;NC_002766;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
45;PV201;Convolvulus arvensis;4123;BChV;NC_002766;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
46;PV211;Solanum nigrum;4112;BChV;NC_002766;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
47;PV212;Amaranthus sp;;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
48;PV214;Convolvulus arvensis;4123;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
49;PV215;Conyza bonariensis;91242;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
50;PV217;Datura stramonium;4076;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
51;PV218;Daucus sp;;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
52;PV223;Silybum marianum;92921;BChV;NC_002766;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
53;PV230;Echium vulgare;34253;BChV;NC_002766;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
54;PV234;Rumex pulcher;291098;BChV;NC_002766;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
55;PV498;Rubia peregrina;29801;BChV;NC_002766;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
56;PV505;Hordeum vulgare;4513;BChV;NC_002766;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
57;PV538;Brassica oleracea;3712;BChV;NC_002766;Crop;21 - field;C1;Aranjuez;-3.593308;40.051302;['1/2/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
58;PV544;Sisymbrium runcinatum;2790294;BChV;NC_002766;Crop;21 - field;C1;Aranjuez;-3.593308;40.051302;['1/2/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
59;PV556;Brassica oleracea;3712;BChV;NC_002766;Crop;21 - field;C2;Aranjuez;-3.599064;40.043193;['1/2/16'];Polerovirus 3;Luteoviridae;Beet chlorosis virus;(+)ssRNA;19156.0
60;PV003bgi;Cucumis melo;3656;BCMV;NC_003397;Crop;21 - field;M1;Aranjuez;-3.34522;40.03184;['16/7/15'];Potyvirus 2;Potyviridae;Bean common mosaic virus;(+)ssRNA;130.0
61;PV015bgi;Cucumis melo;3656;BCMV;NC_003397;Crop;21 - field;M2;Villaconejos;-3.50304;40.050578;['16/7/15'];Potyvirus 2;Potyviridae;Bean common mosaic virus;(+)ssRNA;130.0
62;PV021bgi;Cucumis melo;3656;BCMV;NC_003397;Crop;21 - field;M1;Aranjuez;-3.34522;40.03184;['16/7/15'];Potyvirus 2;Potyviridae;Bean common mosaic virus;(+)ssRNA;130.0
63;PV061;Cucumis melo;3656;BCMV;NC_003397;Crop;21 - field;M1;Aranjuez;-3.34522;40.03184;['20/7/16'];Potyvirus 2;Potyviridae;Bean common mosaic virus;(+)ssRNA;130.0
64;PV150;Anthriscus caucalis;54826;BCRV;NC_011553;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Ilarvirus 4;Bromoviridae;Blackberry chlorotic ringspot virus RNA 1;(+)ssRNA;182.0
65;PV157;Lepidium draba;153317;BCRV;NC_011553;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Ilarvirus 4;Bromoviridae;Blackberry chlorotic ringspot virus RNA 1;(+)ssRNA;182.0
66;PV229;Diplotaxis erucoides;3732;BCRV;NC_011553;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Ilarvirus 4;Bromoviridae;Blackberry chlorotic ringspot virus RNA 1;(+)ssRNA;182.0
67;PV231;Lepidium draba;153317;BCRV;NC_011553;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Ilarvirus 4;Bromoviridae;Blackberry chlorotic ringspot virus RNA 1;(+)ssRNA;182.0
68;PV160;Chenopodium album;3559;BCTIV;NC_010417;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
69;PV167;Chenopodium album;3559;BCTIV;NC_010417;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
70;PV168;Conyza canadensis;72917;BCTIV;NC_010417;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
71;PV176;Anacyclus clavatus;99026;BCTIV;NC_010417;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
72;PV177;Bassia scoparia;83154;BCTIV;NC_010417;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
73;PV181;Diplotaxis erucoides;3732;BCTIV;NC_010417;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
74;PV186;Sonchus oleraceus;50207;BCTIV;NC_010417;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
75;PV188;Convolvulus arvensis;4123;BCTIV;NC_010417;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Becurtovirus 1;Geminiviridae;Beet curly top Iran virus;ssDNA;5750.0
76;PV176;Anacyclus clavatus;99026;BCTV;KT583741;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Curtovirus 1;Geminiviridae;Beet curly top virus;ssDNA;28.0
77;PV114;Staehelina dubia;313545;BGLV;NC_032405;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Panicovirus 1;Tombusviridae;Bermuda grass latent virus;(+)ssRNA;2.0
78;PV176;Anacyclus clavatus;99026;BMCTV;U56975;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Curtovirus 2;Geminiviridae;Beet mild curly top virus;ssDNA;452.0
79;PV070;Descurainia sophia;89411;BMV;NC_002028;Wasteland;25 - fallow land;E1;Aranjuez;-3.500323;40.059138;['19/11/15', '10/11/16'];Bromovirus 1;Bromoviridae;Brome mosaic virus RNA 3;(+)ssRNA;2.0
80;PV216;Cynodon dactylon;28909;BMV;NC_002028;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Bromovirus 1;Bromoviridae;Brome mosaic virus RNA 3;(+)ssRNA;2.0
81;PV390;Thapsia villosa;512635;BMV;NC_002028;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Bromovirus 1;Bromoviridae;Brome mosaic virus RNA 3;(+)ssRNA;2.0
82;PV116;Daucus sp;;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
83;PV122;Picris echioides;174463;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
84;PV128;Vicia sp;;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
85;PV133;Diplotaxis sp;;BMYV;NC_003491;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
86;PV143;Diplotaxis erucoides;3732;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
87;PV146;Malva sylvestris;145754;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
88;PV150;Anthriscus caucalis;54826;BMYV;NC_003491;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
89;PV156;Hirschfeldia incana;71354;BMYV;NC_003491;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
90;PV158;Rubia peregrina;29801;BMYV;NC_003491;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
91;PV163;Lolium perenne;4522;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
92;PV172;Picris echioides;174463;BMYV;NC_003491;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
93;PV200;Chenopodium album;3559;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
94;PV201;Convolvulus arvensis;4123;BMYV;NC_003491;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
95;PV211;Solanum nigrum;4112;BMYV;NC_003491;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
96;PV212;Amaranthus sp;;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
97;PV214;Convolvulus arvensis;4123;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
98;PV215;Conyza bonariensis;91242;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
99;PV217;Datura stramonium;4076;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
100;PV223;Silybum marianum;92921;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
101;PV224;Vicia sp;;BMYV;NC_003491;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
102;PV230;Echium vulgare;34253;BMYV;NC_003491;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
103;PV473;Eryngium campestre;82086;BMYV;NC_003491;Oak;11 - forest or woodland;Q4;Mondéjar;-3.137145;40.345348;['31/5/16', '3/5/17'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
104;PV498;Rubia peregrina;29801;BMYV;NC_003491;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
105;PV538;Brassica oleracea;3712;BMYV;NC_003491;Crop;21 - field;C1;Aranjuez;-3.593308;40.051302;['1/2/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
106;PV553;Rumex pulcher;291098;BMYV;NC_003491;Crop;21 - field;C2;Aranjuez;-3.599064;40.043193;['1/2/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
107;PV556;Brassica oleracea;3712;BMYV;NC_003491;Crop;21 - field;C2;Aranjuez;-3.599064;40.043193;['1/2/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
108;PV587;Hirschfeldia incana;71354;BMYV;NC_003491;Crop;21 - field;H1;Villaconejos;-3.477574;40.04933;['21/4/16'];Polerovirus 4;Luteoviridae;Beet mild yellowing virus;(+)ssRNA;24224.0
109;PV030;Milium vernale;368341;BPeMV;NC_009642;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Tobamovirus 1;Virgaviridae;Bell pepper mottle virus;(+)ssRNA;2.0
110;PV059;Tragopogon sp;;BPEV;NC_015781;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Alphaendornavirus 2;Endornaviridae;Bell pepper endornavirus;dsRNA;2.0
111;PV116;Daucus sp;;BrYV;;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];;;;;
112;PV117;Diplotaxis erucoides;3732;BrYV;;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];;;;;
113;PV127;Torilis nodosa;40891;BrYV;;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];;;;;
114;PV128;Vicia sp;;BrYV;;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];;;;;
115;PV129;Bromus sp;;BrYV;;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];;;;;
116;PV133;Diplotaxis sp;;BrYV;;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];;;;;
117;PV137;Lolium perenne;4522;BrYV;;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];;;;;
118;PV141;Bromus sp;;BrYV;;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];;;;;
119;PV142;Convolvulus arvensis;4123;BrYV;;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];;;;;
