#mOTU	consensus_taxonomy	NCBI_tax_id	PV441
ref_mOTU_v31_01126	Methylobacterium sp. Leaf125	1736265	1
ref_mOTU_v31_01128	Methylobacterium sp. [Methylobacterium sp. Leaf87/Methylobacterium sp. Leaf100/Methylobacterium sp. Leaf102/Methylobacterium sp. Leaf112/Methylobacterium sp. Leaf469]	NA	1
ref_mOTU_v31_01130	Methylobacterium gossipiicola	582675	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	10
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_05300	Methylobacterium sp. [Methylobacterium sp. Leaf113/Methylobacterium sp. Leaf117]	NA	1
ref_mOTU_v31_11562	Oceanibaculum pacificum	580166	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	3
