#mOTU	consensus_taxonomy	NCBI_tax_id	PV024
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01122	Methylobacterium sp. [Methylobacterium sp. 88A/Methylobacterium sp. Leaf85/Methylobacterium sp. Leaf93/Methylobacterium sp. Leaf106]	NA	1
ref_mOTU_v31_01312	Microbacterium hydrocarbonoxydans	273678	1
ref_mOTU_v31_01548	Pedobacter sp. Leaf216	1735684	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	2
ref_mOTU_v31_03887	Curtobacterium flaccumfaciens [Curtobacterium sp. UNCCL17/Curtobacterium sp. Leaf154/Curtobacterium sp. MCBA15_005/Curtobacterium sp. MCBA15_007/Curtobacterium sp. MMLR14_002/Curtobacterium sp. MMLR14_014/Curtobacterium flaccumfaciens]	2035	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04741	Pseudomonas sp. Bc-h	1943632	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_05163	Microbacterium sp. Leaf151	1736276	1
ref_mOTU_v31_05325	Chryseobacterium sp. Leaf394	1736361	1
ref_mOTU_v31_06099	Mycoplasma genitalium	2097	1
ref_mOTU_v31_06482	Flavobacterium psychrophilum	96345	1
ref_mOTU_v31_11003	Agrobacterium tumefaciens	358	1
ref_mOTU_v31_11147	Dyadobacter koreensis	408657	1
ext_mOTU_v31_28980	Pseudomonas species incertae sedis	NA	1
unassigned	unassigned	NA	2
