#mOTU	consensus_taxonomy	NCBI_tax_id	PV369
ref_mOTU_v31_01128	Methylobacterium sp. [Methylobacterium sp. Leaf87/Methylobacterium sp. Leaf100/Methylobacterium sp. Leaf102/Methylobacterium sp. Leaf112/Methylobacterium sp. Leaf469]	NA	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	18
ref_mOTU_v31_07204	Streptomyces sp. HmicA12	1156844	1
ref_mOTU_v31_09216	Frigoribacterium sp. Leaf164	1736282	1
ext_mOTU_v31_16209	Rahnella species incertae sedis	NA	1
ext_mOTU_v31_18570	Comamonas species incertae sedis	NA	1
ext_mOTU_v31_18792	Sphingomonas species incertae sedis	NA	1
