#mOTU	consensus_taxonomy	NCBI_tax_id	PV094
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_01342	Sphingomonas sp. Leaf20	1735685	1
ref_mOTU_v31_01398	Agrobacterium [Agrobacterium genomosp. 3/Agrobacterium sp. LC34/Agrobacterium sp. SUL3/Rhizobium sp. Root651]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	3
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_07508	Janthinobacterium sp. B9-8	1236179	3
meta_mOTU_v31_12989	Malassezia species incertae sedis	NA	1
