#mOTU	consensus_taxonomy	NCBI_tax_id	PV262
ref_mOTU_v31_00187	Pseudomonas sp. [Pseudomonas sp. LAMO17WK12:I4/Pseudomonas sp. LAIL14HWK12:I12/Pseudomonas sp. LAIL14HWK12:I9/Pseudomonas sp. LAIL14HWK12:I6/Pseudomonas sp. FGI182/Pseudomonas sp. URIL14HWK12:I5/Pseudomonas sp. LAIL14HWK12:I5/Pseudomonas sp. URIL14HWK12:I4/Pseudomonas sp. JY-Q/Pseudomonas sp. 10-1B/Pseudomonas sp. C5pp/Pseudomonas sp. ABFPK/Pseudomonas sp. NBRC 111118/Pseudomonas sp. NBRC 111121/Pseudomonas sp. NBRC 111122/Pseudomonas sp. NBRC 111125/Pseudomonas sp. NBRC 111132/Pseudomonas sp. NBRC 111133/Pseudomonas sp. NBRC 111136/Pseudomonas sp. NBRC 111139/Pseudomonas sp. NBRC 111140/Pseudomonas sp. GTC 16473/Pseudomonas sp. GTC 16482/Pseudomonas sp. p21/Pseudomonas sp. B9(2017)/Pseudomonas sp. B8(2017)/Pseudomonas sp. B5(2017)/Pseudomonas sp. B4(2017)/Pseudomonas sp. B24(2017)/Pseudomonas sp. B23(2017)/Pseudomonas sp. B22(2017)/Pseudomonas sp. B19(2017)/Pseudomonas sp. B18(2017)/Pseudomonas sp. B14(2017)/Pseudomonas sp. B13(2017)/Pseudomonas sp. B12(2017)/Pseudomonas sp. B10(2017)/Pseudomonas putida/Pseudomonas plecoglossicida/Pseudomonas monteilii]	NA	1
ref_mOTU_v31_00240	Pseudomonas punonensis/seleniipraecipitans	NA	1
ref_mOTU_v31_00515	Massilia timonae	47229	1
ref_mOTU_v31_00556	Bordetella petrii	94624	1
ref_mOTU_v31_00800	Cutibacterium acnes [Propionibacterium sp. CC003-HC2/Propionibacterium sp. KPL1847/Propionibacterium sp. KPL1849/Propionibacterium sp. KPL1854/Propionibacterium sp. KPL2003/Propionibacterium sp. KPL2008/Propionibacterium sp. KPL2009/Propionibacterium sp. MB3007/Propionibacterium sp. HMSC068C01/Propionibacterium sp. HMSC078F01/Propionibacterium sp. HMSC069G10/Propionibacterium sp. HMSC065F07/Propionibacterium sp. HMSC078F10/Propionibacterium sp. HMSC067A02/Propionibacterium sp. HMSC075A12/Propionibacterium sp. HMSC067A01/Propionibacterium sp. HMSC062D02/Propionibacterium sp. HMSC062D05/Cutibacterium acnes/Propionibacterium sp. CG1_02_60_36/Propionibacterium sp. 5_U_42AFAA/Propionibacterium sp. 409-HC1/Propionibacterium sp. 434-HC2]	1747	1
ref_mOTU_v31_00962	Arthrobacter sp. RIT-PI-e	1681197	1
ref_mOTU_v31_00975	Kocuria polaris	136273	1
ref_mOTU_v31_01128	Methylobacterium sp. [Methylobacterium sp. Leaf87/Methylobacterium sp. Leaf100/Methylobacterium sp. Leaf102/Methylobacterium sp. Leaf112/Methylobacterium sp. Leaf469]	NA	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	13
ref_mOTU_v31_03337	Yoonia rosea	287098	1
ref_mOTU_v31_03937	Caulobacter henricii	69395	1
ref_mOTU_v31_04477	Rhodococcus sp. [Rhodococcus sp. UNC23MFCrub1.1/Rhodococcus sp. Leaf225/Rhodococcus sp. Leaf258]	NA	1
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04813	Frigoribacterium sp. [Frigoribacterium sp. MEB024/Frigoribacterium sp. RIT-PI-h/Frigoribacterium sp. Leaf8/Frigoribacterium sp. Leaf44/Frigoribacterium sp. Leaf254/Frigoribacterium sp. Leaf415/Frigoribacterium sp. MCBA15_019]	NA	1
ref_mOTU_v31_04814	Frigoribacterium sp. Leaf186	1736293	1
ref_mOTU_v31_05162	Microbacterium sp. [Microbacterium sp. Leaf179/Microbacterium sp. Leaf436/Microbacterium sp. BH-3-3-3]	NA	1
ref_mOTU_v31_05294	Sanguibacter sp. Leaf3	1736209	1
ref_mOTU_v31_05307	Rathayibacter sp. [Rathayibacter sp. Leaf296/Rathayibacter sp. Leaf299/Rathayibacter sp. VKM Ac-2630]	NA	1
ref_mOTU_v31_06816	Gryllotalpicola ginsengisoli	444608	1
ref_mOTU_v31_06978	Nocardioides alkalitolerans	281714	1
ref_mOTU_v31_07003	Patulibacter americanus	588672	1
ref_mOTU_v31_07463	actinobacterium LLX17	1229203	1
ref_mOTU_v31_07876	Nocardioides dokdonensis	450734	1
ref_mOTU_v31_09220	Arthrobacter sp. Leaf234	1736303	1
ref_mOTU_v31_09230	Modestobacter sp. Leaf380	1736356	2
ref_mOTU_v31_09234	Marmoricola sp. Leaf446	1736379	1
ref_mOTU_v31_10123	Agrococcus sp. Marseille-P2731	1841862	1
ref_mOTU_v31_10782	Kineococcus radiotolerans	131568	1
ref_mOTU_v31_11049	Sinomonas atrocyanea	37927	1
ref_mOTU_v31_11134	Micromonospora pattaloongensis	405436	1
ref_mOTU_v31_11755	Auraticoccus monumenti	675864	1
ext_mOTU_v31_24876	Micrococcus species incertae sedis	NA	3
unassigned	unassigned	NA	2
