#mOTU	consensus_taxonomy	NCBI_tax_id	PV025
ref_mOTU_v31_00095	Escherichia coli	562	1
ref_mOTU_v31_00109	Pseudomonas endophytica	1563157	1
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_01203	Pseudomonas asturiensis/syringae	NA	1
ref_mOTU_v31_01338	Sphingomonas sp. [Sphingomonas sp. Leaf230/Sphingomonas sp. OK281]	NA	1
ref_mOTU_v31_01410	Rhodococcus fascians [Rhodococcus sp. JG-3/Rhodococcus sp. PML026/Rhodococcus sp. PBTS 2/Rhodococcus sp. Leaf233/Rhodococcus fascians]	1828	1
ref_mOTU_v31_01791	Sphingomonas taxi	1549858	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	21
ref_mOTU_v31_04600	Chryseobacterium sp. [Chryseobacterium sp. YR005/Chryseobacterium sp. JAH]	NA	1
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_05283	Sphingomonas sp. [Sphingomonas sp. Leaf62/Sphingomonas sp. Leaf67]	NA	1
ref_mOTU_v31_05325	Chryseobacterium sp. Leaf394	1736361	1
ref_mOTU_v31_05426	Agrobacterium sp. [Agrobacterium sp. DSM 25558/Agrobacterium sp. DSM 25559]	NA	1
ref_mOTU_v31_05459	Oscillatoria nigro-viridis	482564	1
ref_mOTU_v31_07424	Herbiconiux solani	661329	1
