#mOTU	consensus_taxonomy	NCBI_tax_id	PV205
ref_mOTU_v31_01122	Methylobacterium sp. [Methylobacterium sp. 88A/Methylobacterium sp. Leaf85/Methylobacterium sp. Leaf93/Methylobacterium sp. Leaf106]	NA	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	29
ref_mOTU_v31_05301	Frigoribacterium sp. [Frigoribacterium sp. Leaf172/Frigoribacterium sp. Leaf263]	NA	1
unassigned	unassigned	NA	2
