#mOTU	consensus_taxonomy	NCBI_tax_id	PV046
ref_mOTU_v31_00817	Bacillus sp. [Bacillus sp. 171095_106/Bacillus sp. 278922_107/Bacillus sp. RP1137/Bacillus megaterium/Bacillus sp. FJAT-21351/Bacillus sp. Leaf75/Bacillus sp. Soil531/Bacillus sp. Root147/Bacillus sp. Root239/Bacillus sp. IHB B 7164/Bacillus aryabhattai/Bacillus flexus]	NA	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	3
ref_mOTU_v31_02132	Bacillus endophyticus/filamentosus [Bacillus endophyticus/Bacillus filamentosus/Bacillus sp. REN51N]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	5
ref_mOTU_v31_04119	Bacillus simplex/frigoritolerans [Bacillus simplex/Bacillus sp. FJAT-21352/Bacillus sp. FJAT-22058/Bacillus sp. Soil745/Bacillus sp. FJAT-20673/[Brevibacterium] frigoritolerans]	NA	1
ref_mOTU_v31_06099	Mycoplasma genitalium	2097	1
ref_mOTU_v31_08781	Erwinia gerundensis	1619313	1
