#mOTU	consensus_taxonomy	NCBI_tax_id	PV003
ref_mOTU_v31_00135	Pseudomonas sp. [Pseudomonas sp. CMAA1215/Pseudomonas sp. R26(2017)/Pseudomonas sp. B6(2017)/Pseudomonas sp. CMR5c]	NA	2
ref_mOTU_v31_01500	Neisseria sp. oral taxon 014	641148	3
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	1024
ref_mOTU_v31_06099	Mycoplasma genitalium	2097	2
ref_mOTU_v31_07508	Janthinobacterium sp. B9-8	1236179	16
ref_mOTU_v31_07840	Staphylococcus gallinarum	1293	1
ext_mOTU_v31_15889	Acidobacteria species incertae sedis	NA	6
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	2
unassigned	unassigned	NA	1
