#mOTU	consensus_taxonomy	NCBI_tax_id	PV027
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_02202	Corynebacterium pseudodiphtheriticum [Corynebacterium sp. KPL1989/Corynebacterium sp. KPL1995/Corynebacterium sp. EPI-003-04-2554_SCH2473622/Corynebacterium pseudodiphtheriticum]	37637	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	12
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04744	Rhizobium sp. NFR03	1566263	1
ref_mOTU_v31_05354	Mycobacterium sp. [Mycobacterium sp. Root135/Mycobacterium sp. AT1]	NA	1
ref_mOTU_v31_06430	Afipia clevelandensis [Afipia clevelandensis/Bradyrhizobiaceae bacterium SG-6C]	1034	1
ref_mOTU_v31_06865	Dyadobacter alkalitolerans	492736	1
ext_mOTU_v31_18213	Anaerococcus species incertae sedis	NA	1
ext_mOTU_v31_32640	Pseudomonas species incertae sedis	NA	1
