#mOTU	consensus_taxonomy	NCBI_tax_id	PV026
ref_mOTU_v31_00418	Herbaspirillum seropedicae [Herbaspirillum sp. WT00C/Herbaspirillum seropedicae]	964	1
ref_mOTU_v31_01126	Methylobacterium sp. Leaf125	1736265	1
ref_mOTU_v31_01127	Methylobacterium sp. Leaf104	1736254	1
ref_mOTU_v31_01726	Xanthomonas campestris	339	1
ref_mOTU_v31_01735	Xanthomonas sp. [Xanthomonas phaseoli/Xanthomonas campestris/Xanthomonas citri/Xanthomonas perforans/Xanthomonas euvesicatoria/Xanthomonas axonopodis]	NA	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_03837	Sphingomonas sp. [Sphingomonas sp. Root1294/Sphingomonas sp. Root50/Sphingomonas sp. Root720]	NA	1
ref_mOTU_v31_04477	Rhodococcus sp. [Rhodococcus sp. UNC23MFCrub1.1/Rhodococcus sp. Leaf225/Rhodococcus sp. Leaf258]	NA	1
ref_mOTU_v31_04600	Chryseobacterium sp. [Chryseobacterium sp. YR005/Chryseobacterium sp. JAH]	NA	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_05303	Pedobacter sp. Leaf194	1736297	2
ref_mOTU_v31_06099	Mycoplasma genitalium	2097	1
ref_mOTU_v31_11143	Rhodobacter vinaykumarii	407234	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	1
ext_mOTU_v31_28275	Acidobacteria species incertae sedis	NA	1
unassigned	unassigned	NA	1
