#mOTU	consensus_taxonomy	NCBI_tax_id	PV041
ref_mOTU_v31_00503	Cupriavidus sp. BIS7	1217718	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_01874	Clavibacter michiganensis [Clavibacter cf. michiganensis LMG 26808/Clavibacter michiganensis]	28447	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	2
ref_mOTU_v31_04105	Actinoplanes sp. SE50/110	134676	3
ref_mOTU_v31_04600	Chryseobacterium sp. [Chryseobacterium sp. YR005/Chryseobacterium sp. JAH]	NA	2
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04744	Rhizobium sp. NFR03	1566263	1
unassigned	unassigned	NA	1
