#mOTU	consensus_taxonomy	NCBI_tax_id	PV015bgi
ref_mOTU_v31_01689	Bradyrhizobium elkanii [Bradyrhizobium sp. OHSU_III/Bradyrhizobium elkanii]	29448	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	127
ref_mOTU_v31_07508	Janthinobacterium sp. B9-8	1236179	20
ext_mOTU_v31_15889	Acidobacteria species incertae sedis	NA	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	1
