#mOTU	consensus_taxonomy	NCBI_tax_id	PV210
ref_mOTU_v31_01785	Stenotrophomonas maltophilia	40324	1
ref_mOTU_v31_01786	Stenotrophomonas maltophilia	40324	1
ref_mOTU_v31_01924	Leuconostoc mesenteroides	1245	10
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	4
ref_mOTU_v31_03768	Salinivibrio sp. ES.052	1882823	1
ref_mOTU_v31_04813	Frigoribacterium sp. [Frigoribacterium sp. MEB024/Frigoribacterium sp. RIT-PI-h/Frigoribacterium sp. Leaf8/Frigoribacterium sp. Leaf44/Frigoribacterium sp. Leaf254/Frigoribacterium sp. Leaf415/Frigoribacterium sp. MCBA15_019]	NA	1
ref_mOTU_v31_05306	Curtobacterium sp. MMLR14_010	1898743	1
ref_mOTU_v31_07508	Janthinobacterium sp. B9-8	1236179	4
ref_mOTU_v31_09216	Frigoribacterium sp. Leaf164	1736282	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	1
