#mOTU	consensus_taxonomy	NCBI_tax_id	PV157
ref_mOTU_v31_00170	Pseudomonas fluorescens/putida [Pseudomonas sp. GM25/Pseudomonas sp. DR 5-09/Pseudomonas sp. NFIX49/Pseudomonas sp. NFIX46/Pseudomonas sp. MS586/Pseudomonas sp. R47(2017)/Pseudomonas sp. R45(2017)/Pseudomonas sp. R43(2017)/Pseudomonas sp. R41(2017)/Pseudomonas sp. R40(2017)/Pseudomonas sp. R39(2017)/Pseudomonas sp. R38(2017)/Pseudomonas sp. R36(2017)/Pseudomonas sp. R35(2017)/Pseudomonas sp. R34(2017)/Pseudomonas sp. R33(2017)/Pseudomonas sp. R32(2017)/Pseudomonas sp. R31(2017)/Pseudomonas sp. R24(2017)/Pseudomonas sp. R23(2017)/Pseudomonas sp. R22(2017)/Pseudomonas sp. R15(2017)/Pseudomonas sp. B40(2017)/Pseudomonas sp. B39(2017)/Pseudomonas sp. B38(2017)/Pseudomonas sp. B37(2017)/Pseudomonas sp. B36(2017)/Pseudomonas sp. B34(2017)/Pseudomonas sp. B33(2017)/Pseudomonas sp. B32(2017)/Pseudomonas sp. B31(2017)/Pseudomonas sp. B30(2017)/Pseudomonas sp. B29(2017)/Pseudomonas sp. B27(2017)/Pseudomonas sp. B26(2017)/Pseudomonas sp. B25(2017)/Pseudomonas sp. B21(2017)/Pseudomonas sp. B20(2017)/Pseudomonas sp. B1(2017)/Pseudomonas sp. B17(2017)/Pseudomonas sp. B16(2017)/Pseudomonas sp. B15(2017)/Pseudomonas fluorescens/Pseudomonas putida]	NA	2
ref_mOTU_v31_00456	Comamonas granuli [Burkholderiales bacterium 68-12/Comamonas granuli]	290309	1
ref_mOTU_v31_00531	Duganella sp. CF517	1881038	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_01726	Xanthomonas campestris	339	1
ref_mOTU_v31_01735	Xanthomonas sp. [Xanthomonas phaseoli/Xanthomonas campestris/Xanthomonas citri/Xanthomonas perforans/Xanthomonas euvesicatoria/Xanthomonas axonopodis]	NA	2
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	12
unassigned	unassigned	NA	1
