#mOTU	consensus_taxonomy	NCBI_tax_id	PV215
ref_mOTU_v31_00063	Enterobacteriaceae sp. [Kosakonia cowanii/Enterobacter cloacae]	NA	1
ref_mOTU_v31_00095	Escherichia coli	562	1
ref_mOTU_v31_00114	Pseudomonas psychrophila/deceptionensis	NA	1
ref_mOTU_v31_00137	Pseudomonas sp. [Pseudomonas sp. Os17/Pseudomonas sp. St29/Pseudomonas sp. NFPP16/Pseudomonas sp. NFPP15/Pseudomonas sp. NFPP14/Pseudomonas sp. NFPP13/Pseudomonas sp. NFPP12/Pseudomonas sp. NFPP10/Pseudomonas sp. NFPP09/Pseudomonas sp. NFPP08/Pseudomonas sp. NFPP05/Pseudomonas sp. NFPP19/Pseudomonas sp. NFPP18/Pseudomonas sp. NFPP17/Pseudomonas sp. NFPP25/Pseudomonas fluorescens/Pseudomonas protegens/Pseudomonas saponiphila]	NA	1
ref_mOTU_v31_00140	Pseudomonas chlororaphis [Pseudomonas sp. GM17/Pseudomonas sp. NFIX51/Pseudomonas sp. NFACC41-3/Pseudomonas sp. NFPP07/Pseudomonas sp. NFIX28/Pseudomonas chlororaphis]	587753	1
ref_mOTU_v31_00146	Pseudomonas sp. [Pseudomonas frederiksbergensis/Pseudomonas sp. URIL14HWK12:I7/Pseudomonas kilonensis/Pseudomonas sp. NFACC16-2/Pseudomonas sp. NFACC24-1/Pseudomonas sp. NFACC23-1/Pseudomonas sp. NFACC17-2/Pseudomonas sp. NFACC39-1/Pseudomonas sp. NFACC37-1/Pseudomonas sp. NFACC46-3/Pseudomonas sp. NFACC45/Pseudomonas sp. NFACC44-2/Pseudomonas sp. NFACC56-3/Pseudomonas sp. NFACC54/Pseudomonas sp. NFACC52/Pseudomonas sp. NFACC51/Pseudomonas sp. NFACC48-1/Pseudomonas sp. NFIX10/Pseudomonas sp. NFACC08-1/Pseudomonas sp. NFACC07-1/Pseudomonas sp. NFACC06-1/Pseudomonas sp. NFACC05-1/Pseudomonas sp. NFACC04-2/Pseudomonas sp. NFACC15-1/Pseudomonas sp. NFACC14/Pseudomonas sp. NFACC13-1/Pseudomonas sp. Root401/Pseudomonas sp. Q12-87/Pseudomonas sp. A214/Pseudomonas sp. A25(2017)/Pseudomonas sp. Ep R1/Pseudomonas fluorescens/Pseudomonas thivervalensis/Pseudomonas sp. CFII68/Pseudomonas brassicacearum]	NA	1
ref_mOTU_v31_00166	Pseudomonas fluorescens	294	1
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	2
ref_mOTU_v31_00176	Pseudomonas donghuensis/putida [Pseudomonas donghuensis/Pseudomonas sp. 2(2015)/Pseudomonas sp. UC 17F4/Pseudomonas putida]	NA	1
ref_mOTU_v31_00182	Pseudomonas sp. [Pseudomonas sp. URMO17WK12:I11/Pseudomonas parafulva/Pseudomonas putida/Pseudomonas fulva]	NA	2
ref_mOTU_v31_00190	Pseudomonas plecoglossicida	70775	1
ref_mOTU_v31_00196	Pseudomonas putida/mosselii [Pseudomonas sp. 250J/Pseudomonas putida/Pseudomonas mosselii]	NA	1
ref_mOTU_v31_00197	Pseudomonas entomophila	312306	1
ref_mOTU_v31_00200	Pseudomonas monteilii	76759	2
ref_mOTU_v31_00201	Pseudomonas aeruginosa	287	1
