#mOTU	consensus_taxonomy	NCBI_tax_id	PV213
ref_mOTU_v31_00146	Pseudomonas sp. [Pseudomonas frederiksbergensis/Pseudomonas sp. URIL14HWK12:I7/Pseudomonas kilonensis/Pseudomonas sp. NFACC16-2/Pseudomonas sp. NFACC24-1/Pseudomonas sp. NFACC23-1/Pseudomonas sp. NFACC17-2/Pseudomonas sp. NFACC39-1/Pseudomonas sp. NFACC37-1/Pseudomonas sp. NFACC46-3/Pseudomonas sp. NFACC45/Pseudomonas sp. NFACC44-2/Pseudomonas sp. NFACC56-3/Pseudomonas sp. NFACC54/Pseudomonas sp. NFACC52/Pseudomonas sp. NFACC51/Pseudomonas sp. NFACC48-1/Pseudomonas sp. NFIX10/Pseudomonas sp. NFACC08-1/Pseudomonas sp. NFACC07-1/Pseudomonas sp. NFACC06-1/Pseudomonas sp. NFACC05-1/Pseudomonas sp. NFACC04-2/Pseudomonas sp. NFACC15-1/Pseudomonas sp. NFACC14/Pseudomonas sp. NFACC13-1/Pseudomonas sp. Root401/Pseudomonas sp. Q12-87/Pseudomonas sp. A214/Pseudomonas sp. A25(2017)/Pseudomonas sp. Ep R1/Pseudomonas fluorescens/Pseudomonas thivervalensis/Pseudomonas sp. CFII68/Pseudomonas brassicacearum]	NA	1
ref_mOTU_v31_00187	Pseudomonas sp. [Pseudomonas sp. LAMO17WK12:I4/Pseudomonas sp. LAIL14HWK12:I12/Pseudomonas sp. LAIL14HWK12:I9/Pseudomonas sp. LAIL14HWK12:I6/Pseudomonas sp. FGI182/Pseudomonas sp. URIL14HWK12:I5/Pseudomonas sp. LAIL14HWK12:I5/Pseudomonas sp. URIL14HWK12:I4/Pseudomonas sp. JY-Q/Pseudomonas sp. 10-1B/Pseudomonas sp. C5pp/Pseudomonas sp. ABFPK/Pseudomonas sp. NBRC 111118/Pseudomonas sp. NBRC 111121/Pseudomonas sp. NBRC 111122/Pseudomonas sp. NBRC 111125/Pseudomonas sp. NBRC 111132/Pseudomonas sp. NBRC 111133/Pseudomonas sp. NBRC 111136/Pseudomonas sp. NBRC 111139/Pseudomonas sp. NBRC 111140/Pseudomonas sp. GTC 16473/Pseudomonas sp. GTC 16482/Pseudomonas sp. p21/Pseudomonas sp. B9(2017)/Pseudomonas sp. B8(2017)/Pseudomonas sp. B5(2017)/Pseudomonas sp. B4(2017)/Pseudomonas sp. B24(2017)/Pseudomonas sp. B23(2017)/Pseudomonas sp. B22(2017)/Pseudomonas sp. B19(2017)/Pseudomonas sp. B18(2017)/Pseudomonas sp. B14(2017)/Pseudomonas sp. B13(2017)/Pseudomonas sp. B12(2017)/Pseudomonas sp. B10(2017)/Pseudomonas putida/Pseudomonas plecoglossicida/Pseudomonas monteilii]	NA	1
ref_mOTU_v31_00188	Pseudomonas putida	303	1
ref_mOTU_v31_00243	Pseudomonas sp. [Pseudomonas sp. URMO17WK12:I3/Pseudomonas sp. URMO17WK12:I4/Pseudomonas sp. PA15(2017)/Pseudomonas sp. PA27(2017)/Pseudomonas sp. PA1(2017)/Pseudomonas argentinensis/Pseudomonas fulva/Pseudomonas straminea]	NA	1
ref_mOTU_v31_00962	Arthrobacter sp. RIT-PI-e	1681197	1
ref_mOTU_v31_01058	Pseudomonas sp. [Pseudomonas sp. MOIL14HWK12:I1/Pseudomonas sp. MOIL14HWK12:I2/Pseudomonas sp. 313/Pseudomonas sp. Snoq117.2/Pseudomonas psychrotolerans/Pseudomonas oleovorans/Pseudomonas oryzihabitans]	NA	1
ref_mOTU_v31_01059	Pseudomonas oryzihabitans	47885	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01122	Methylobacterium sp. [Methylobacterium sp. 88A/Methylobacterium sp. Leaf85/Methylobacterium sp. Leaf93/Methylobacterium sp. Leaf106]	NA	1
ref_mOTU_v31_01213	Rhodococcus sp. [Rhodococcus sp. YL-1/Rhodococcus enclensis/Rhodococcus sp. P27/Rhodococcus sp. 164Chir2E/Rhodococcus sp. 311R/Rhodococcus sp. ARP2/Rhodococcus sp. 008/Rhodococcus sp. KB6/Rhodococcus sp. YH3-3/Rhodococcus sp. BH4/Rhodococcus erythropolis/Rhodococcus sp. 1139/Rhodococcus sp. AJR001/Rhodococcus sp. D-1/Rhodococcus sp. 66b/Rhodococcus sp. ADH/Rhodococcus qingshengii/Rhodococcus hoagii]	NA	1
