#mOTU	consensus_taxonomy	NCBI_tax_id	PV004bgi
ref_mOTU_v31_00354	Mycobacteroides franklinii	948102	1
ref_mOTU_v31_01191	Bradyrhizobium shewense/japonicum [Bradyrhizobium sp. WSM2793/Bradyrhizobium shewense/Bradyrhizobium sp. Rc3b/Bradyrhizobium japonicum]	NA	1
ref_mOTU_v31_01689	Bradyrhizobium elkanii [Bradyrhizobium sp. OHSU_III/Bradyrhizobium elkanii]	29448	2
ref_mOTU_v31_03269	Sphingomonas koreensis	93064	1
