#mOTU	consensus_taxonomy	NCBI_tax_id	PV011
ref_mOTU_v31_00817	Bacillus sp. [Bacillus sp. 171095_106/Bacillus sp. 278922_107/Bacillus sp. RP1137/Bacillus megaterium/Bacillus sp. FJAT-21351/Bacillus sp. Leaf75/Bacillus sp. Soil531/Bacillus sp. Root147/Bacillus sp. Root239/Bacillus sp. IHB B 7164/Bacillus aryabhattai/Bacillus flexus]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	26
ref_mOTU_v31_04525	Streptomyces sp. NRRL S-920	1463921	1
ref_mOTU_v31_06426	Candidatus Phytoplasma solani	69896	2
ext_mOTU_v31_28902	Pasteurellaceae species incertae sedis	NA	1
