#mOTU	consensus_taxonomy	NCBI_tax_id	PV186
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_01938	Veillonella parvula [Veillonella parvula/Veillonella sp. 6_1_27/Veillonella sp. 3_1_44]	29466	1
ref_mOTU_v31_02024	Wolbachia pipientis [Wolbachia endosymbiont of Diaphorina citri/Wolbachia endosymbiont of Dactylopius coccus/Wolbachia endosymbiont of Operophtera brumata/Wolbachia endosymbiont of Culex quinquefasciatus/Wolbachia endosymbiont of Laodelphax striatella/Wolbachia endosymbiont of Drosophila simulans/Wolbachia pipientis]	955	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	2
ext_mOTU_v31_26688	Exiguobacterium species incertae sedis	NA	1
