#mOTU	consensus_taxonomy	NCBI_tax_id	PV211
ref_mOTU_v31_00515	Massilia timonae	47229	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	7
ref_mOTU_v31_05301	Frigoribacterium sp. [Frigoribacterium sp. Leaf172/Frigoribacterium sp. Leaf263]	NA	1
ref_mOTU_v31_09215	Massilia sp. Leaf139	1736272	1
ref_mOTU_v31_09216	Frigoribacterium sp. Leaf164	1736282	1
