#mOTU	consensus_taxonomy	NCBI_tax_id	PV009bgi
ref_mOTU_v31_01691	Bradyrhizobium embrapense	630921	1
ref_mOTU_v31_01695	Bradyrhizobium sp. DFCI-1	1230476	1
ext_mOTU_v31_28262	Methylobacterium species incertae sedis	NA	1
