#mOTU	consensus_taxonomy	NCBI_tax_id	PV088
ref_mOTU_v31_00513	Ralstonia sp. MD27	1676617	1
ref_mOTU_v31_01126	Methylobacterium sp. Leaf125	1736265	1
ref_mOTU_v31_01128	Methylobacterium sp. [Methylobacterium sp. Leaf87/Methylobacterium sp. Leaf100/Methylobacterium sp. Leaf102/Methylobacterium sp. Leaf112/Methylobacterium sp. Leaf469]	NA	2
ref_mOTU_v31_01133	Methylobacterium sp. GXS13	1730094	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	4
ref_mOTU_v31_04119	Bacillus simplex/frigoritolerans [Bacillus simplex/Bacillus sp. FJAT-21352/Bacillus sp. FJAT-22058/Bacillus sp. Soil745/Bacillus sp. FJAT-20673/[Brevibacterium] frigoritolerans]	NA	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_05077	bacteria symbiont BFo2 of Frankliniella occidentalis	1628856	1
ref_mOTU_v31_05300	Methylobacterium sp. [Methylobacterium sp. Leaf113/Methylobacterium sp. Leaf117]	NA	3
ref_mOTU_v31_08781	Erwinia gerundensis	1619313	1
ext_mOTU_v31_19780	Betaproteobacteria species incertae sedis	NA	1
ext_mOTU_v31_28226	Methylobacterium species incertae sedis	NA	1
