#mOTU	consensus_taxonomy	NCBI_tax_id	PV020bgi
ref_mOTU_v31_01689	Bradyrhizobium elkanii [Bradyrhizobium sp. OHSU_III/Bradyrhizobium elkanii]	29448	1
ref_mOTU_v31_01692	Bradyrhizobium pachyrhizi/elkanii [Bradyrhizobium sp. UFLA 03-321/Bradyrhizobium sp. R5/Bradyrhizobium pachyrhizi/Bradyrhizobium elkanii]	NA	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	21
unassigned	unassigned	NA	1
