#mOTU	consensus_taxonomy	NCBI_tax_id	PV006bgi
ref_mOTU_v31_00457	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40	1797569	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	1
ext_mOTU_v31_18834	Methylobacterium species incertae sedis	NA	1
