#mOTU	consensus_taxonomy	NCBI_tax_id	PV203
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_01570	Halomonas sp. QHL1	1123773	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	9
ref_mOTU_v31_03768	Salinivibrio sp. ES.052	1882823	3
ref_mOTU_v31_03887	Curtobacterium flaccumfaciens [Curtobacterium sp. UNCCL17/Curtobacterium sp. Leaf154/Curtobacterium sp. MCBA15_005/Curtobacterium sp. MCBA15_007/Curtobacterium sp. MMLR14_002/Curtobacterium sp. MMLR14_014/Curtobacterium flaccumfaciens]	2035	1
ref_mOTU_v31_05300	Methylobacterium sp. [Methylobacterium sp. Leaf113/Methylobacterium sp. Leaf117]	NA	1
ref_mOTU_v31_05301	Frigoribacterium sp. [Frigoribacterium sp. Leaf172/Frigoribacterium sp. Leaf263]	NA	1
ref_mOTU_v31_06048	Halomonas campaniensis [Halomonas sp. GT/Halomonas campaniensis]	213554	1
ref_mOTU_v31_09216	Frigoribacterium sp. Leaf164	1736282	1
