#mOTU	consensus_taxonomy	NCBI_tax_id	PV557
ref_mOTU_v31_00049	Aeromonas hydrophila/media	NA	1
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_01744	Exiguobacterium antarcticum [Exiguobacterium antarcticum/Exiguobacterium sp. KRL4]	132920	1
ref_mOTU_v31_01746	Exiguobacterium sibiricum	332410	1
ref_mOTU_v31_02252	Flavobacterium flevense	983	1
ref_mOTU_v31_02725	Arthrobacter sp. OY3WO11	1835723	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	38
ref_mOTU_v31_03887	Curtobacterium flaccumfaciens [Curtobacterium sp. UNCCL17/Curtobacterium sp. Leaf154/Curtobacterium sp. MCBA15_005/Curtobacterium sp. MCBA15_007/Curtobacterium sp. MMLR14_002/Curtobacterium sp. MMLR14_014/Curtobacterium flaccumfaciens]	2035	1
ref_mOTU_v31_04477	Rhodococcus sp. [Rhodococcus sp. UNC23MFCrub1.1/Rhodococcus sp. Leaf225/Rhodococcus sp. Leaf258]	NA	1
ref_mOTU_v31_05300	Methylobacterium sp. [Methylobacterium sp. Leaf113/Methylobacterium sp. Leaf117]	NA	1
ref_mOTU_v31_05307	Rathayibacter sp. [Rathayibacter sp. Leaf296/Rathayibacter sp. Leaf299/Rathayibacter sp. VKM Ac-2630]	NA	1
ref_mOTU_v31_06911	Hymenobacter daecheongensis	496053	1
ref_mOTU_v31_09214	Pseudomonas sp. Leaf127	1736267	1
ref_mOTU_v31_10594	Hymenobacter sp. CRA2	1955620	1
ref_mOTU_v31_10768	Psychrobacter alimentarius	261164	1
ext_mOTU_v31_19218	Pseudomonas species incertae sedis	NA	1
ext_mOTU_v31_19376	Comamonadaceae species incertae sedis	NA	1
ext_mOTU_v31_24228	Comamonadaceae species incertae sedis	NA	1
