#mOTU	consensus_taxonomy	NCBI_tax_id	PV423
ref_mOTU_v31_00072	Leclercia adecarboxylata	83655	2
ref_mOTU_v31_00095	Escherichia coli	562	1
ref_mOTU_v31_00283	Streptococcus sp. [Streptococcus pneumoniae/Streptococcus sp. HMSC070B10/Streptococcus sp. HMSC063B03/Streptococcus sp. HMSC077D04/Streptococcus sp. HMSC073F11/Streptococcus sp. CCUG 49591/Streptococcus pseudopneumoniae/Streptococcus mitis/Streptococcus sp. M334]	NA	1
ref_mOTU_v31_00692	Streptomyces sp. cf386	1761904	1
ref_mOTU_v31_00728	Micromonospora sp. [Micromonospora parva/Micromonospora saelicesensis/Micromonospora chokoriensis]	NA	1
ref_mOTU_v31_00729	Micromonospora lupini	285679	1
ref_mOTU_v31_00742	Micromonospora eburnea/narathiwatensis	NA	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	2
ref_mOTU_v31_01203	Pseudomonas asturiensis/syringae	NA	1
ref_mOTU_v31_01338	Sphingomonas sp. [Sphingomonas sp. Leaf230/Sphingomonas sp. OK281]	NA	1
ref_mOTU_v31_01419	Klenkia soli	1052260	1
ref_mOTU_v31_01773	Amycolatopsis australiensis	546364	1
ref_mOTU_v31_02102	Actinoplanes globisporus	113565	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	18
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04830	Actinoalloteichus sp. [Actinoalloteichus sp. GBA129-24/Actinoalloteichus sp. ADI127-7]	NA	1
ref_mOTU_v31_05125	Pseudonocardia autotrophica [Pseudonocardia sp. HH130629-09/Pseudonocardia sp. Ae331_Ps2/Pseudonocardia sp. Ae406_Ps2/Pseudonocardia sp. Ae505_Ps2/Pseudonocardia sp. Ae706_Ps2/Pseudonocardia sp. Ae717_Ps2/Pseudonocardia autotrophica/Pseudonocardia sp. AL041005-10]	2074	1
ref_mOTU_v31_05332	Nocardioides sp. Soil777	1736409	1
ref_mOTU_v31_05941	Actinoplanes utahensis	1869	1
ref_mOTU_v31_07003	Patulibacter americanus	588672	1
ref_mOTU_v31_10958	Catenuloplanes japonicus	33876	1
ref_mOTU_v31_11645	Sphingomonas rubra	634430	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	3
unassigned	unassigned	NA	1
