#mOTU	consensus_taxonomy	NCBI_tax_id	PV204
ref_mOTU_v31_00457	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40	1797569	1
ref_mOTU_v31_00924	Erwinia pyrifoliae [Erwinia sp. Ejp617/Erwinia pyrifoliae]	79967	1
ref_mOTU_v31_01202	Pseudomonas marginalis/viridiflava [Pseudomonas syringae group genomosp. 3/Pseudomonas marginalis/Pseudomonas viridiflava]	NA	1
ref_mOTU_v31_01726	Xanthomonas campestris	339	2
ref_mOTU_v31_01735	Xanthomonas sp. [Xanthomonas phaseoli/Xanthomonas campestris/Xanthomonas citri/Xanthomonas perforans/Xanthomonas euvesicatoria/Xanthomonas axonopodis]	NA	2
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	6
ref_mOTU_v31_03405	Salipiger profundus	1229727	1
ref_mOTU_v31_04477	Rhodococcus sp. [Rhodococcus sp. UNC23MFCrub1.1/Rhodococcus sp. Leaf225/Rhodococcus sp. Leaf258]	NA	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_09220	Arthrobacter sp. Leaf234	1736303	1
ref_mOTU_v31_11003	Agrobacterium tumefaciens	358	1
unassigned	unassigned	NA	2
