#mOTU	consensus_taxonomy	NCBI_tax_id	PV218
ref_mOTU_v31_00123	Pseudomonas fluorescens/yamanorum [Pseudomonas sp. PAMC 25886/Pseudomonas sp. Ag1/Pseudomonas sp. PAMC 26793/Pseudomonas sp. ATCC PTA-122608/Pseudomonas fluorescens/Pseudomonas yamanorum]	NA	1
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	2
ref_mOTU_v31_00182	Pseudomonas sp. [Pseudomonas sp. URMO17WK12:I11/Pseudomonas parafulva/Pseudomonas putida/Pseudomonas fulva]	NA	1
ref_mOTU_v31_00438	Massilia niastensis	544911	1
ref_mOTU_v31_00515	Massilia timonae	47229	1
ref_mOTU_v31_00529	Oxalobacteraceae sp. [Janthinobacterium sp. HH01/Duganella sp. HH101/Duganella sp. HH105]	NA	1
ref_mOTU_v31_00530	Oxalobacteraceae bacterium AB_14	1158293	1
ref_mOTU_v31_00562	Castellaniella defragrans	75697	1
ref_mOTU_v31_00871	Burkholderia sp. [Burkholderia sp. A9/Burkholderia sp. WP40/Burkholderia sp. WP42/Burkholderia territorii/Burkholderia ambifaria/Burkholderia sp. USM B20/Burkholderia sp. RF2-non_BP3/Burkholderia sp. RF4-BP95/Burkholderia sp. RF7-non_BP1/Burkholderia sp. RF7-non_BP4/Burkholderia sp. LA-2-3-30-S1-D2/Burkholderia sp. FL-7-2-10-S1-D7/Burkholderia sp. MSMB0856/Burkholderia cepacia/Burkholderia sp. KJ006/Burkholderia latens/Burkholderia diffusa/Burkholderia vietnamiensis/Burkholderia cenocepacia]	NA	1
ref_mOTU_v31_00891	Exiguobacterium sp. [Exiguobacterium enclense/Exiguobacterium sp. ZWU0009/Exiguobacterium sp. MH3/Exiguobacterium sp. RIT341/Exiguobacterium sp. BMC-KP/Exiguobacterium sp. Leaf187/Exiguobacterium sp. Leaf196/Exiguobacterium sp. KKBO11/Exiguobacterium sp. U13-1/Exiguobacterium indicum/Exiguobacterium acetylicum]	NA	1
ref_mOTU_v31_00962	Arthrobacter sp. RIT-PI-e	1681197	1
ref_mOTU_v31_00969	Kocuria indica/marina [Kocuria indica/Kocuria sp. ICS0012/Kocuria marina]	NA	1
ref_mOTU_v31_00975	Kocuria polaris	136273	1
ref_mOTU_v31_01059	Pseudomonas oryzihabitans	47885	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01216	Janibacter terrae/indicus	NA	1
ref_mOTU_v31_01220	Planococcus plakortidis	1038856	1
ref_mOTU_v31_01221	Planococcus rifietoensis	200991	2
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_01408	Rhodococcus fascians [Rhodococcus sp. 29MFTsu3.1/Rhodococcus sp. 114MFTsu3.1/Rhodococcus fascians]	1828	1
ref_mOTU_v31_01410	Rhodococcus fascians [Rhodococcus sp. JG-3/Rhodococcus sp. PML026/Rhodococcus sp. PBTS 2/Rhodococcus sp. Leaf233/Rhodococcus fascians]	1828	2
ref_mOTU_v31_01745	Exiguobacterium undae	169177	2
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_01873	Clavibacter michiganensis	28447	1
ref_mOTU_v31_01874	Clavibacter michiganensis [Clavibacter cf. michiganensis LMG 26808/Clavibacter michiganensis]	28447	1
ref_mOTU_v31_01875	Clavibacter michiganensis	28447	1
ref_mOTU_v31_02145	Bifidobacterium magnum	1692	1
ref_mOTU_v31_02198	Corynebacterium halotolerans	225326	1
ref_mOTU_v31_02692	Microbacteriaceae sp. [Leifsonia sp. 109/Cryocola sp. 340MFSha3.1/Leifsonia sp. 98AMF/Leifsonia sp. 197AMF/Leifsonia sp. 509MF/Leifsonia sp. 467MF/Leifsonia sp. 466MF/Leifsonia sp. 157MF]	NA	1
ref_mOTU_v31_02957	Paracoccus sp. 228	1192054	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	14
ref_mOTU_v31_03337	Yoonia rosea	287098	1
ref_mOTU_v31_03453	Okibacterium fritillariae [Okibacterium fritillariae/Leifsonia sp. ALI-44-B]	123320	1
ref_mOTU_v31_03891	Curtobacterium sp. MCBA15_008	1898736	1
ref_mOTU_v31_03896	Curtobacterium citreum	2036	1
ref_mOTU_v31_04279	Massilia sp. [Massilia sp. WF1/Massilia sp. WG5]	NA	1
ref_mOTU_v31_04356	Leifsonia aquatica	144185	1
ref_mOTU_v31_04477	Rhodococcus sp. [Rhodococcus sp. UNC23MFCrub1.1/Rhodococcus sp. Leaf225/Rhodococcus sp. Leaf258]	NA	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_04813	Frigoribacterium sp. [Frigoribacterium sp. MEB024/Frigoribacterium sp. RIT-PI-h/Frigoribacterium sp. Leaf8/Frigoribacterium sp. Leaf44/Frigoribacterium sp. Leaf254/Frigoribacterium sp. Leaf415/Frigoribacterium sp. MCBA15_019]	NA	1
ref_mOTU_v31_04820	Pseudomonas coleopterorum/rhizosphaerae [Pseudomonas coleopterorum/Pseudomonas sp. RIT-PI-a/Pseudomonas sp. Leaf129/Pseudomonas rhizosphaerae]	NA	2
ref_mOTU_v31_05125	Pseudonocardia autotrophica [Pseudonocardia sp. HH130629-09/Pseudonocardia sp. Ae331_Ps2/Pseudonocardia sp. Ae406_Ps2/Pseudonocardia sp. Ae505_Ps2/Pseudonocardia sp. Ae706_Ps2/Pseudonocardia sp. Ae717_Ps2/Pseudonocardia autotrophica/Pseudonocardia sp. AL041005-10]	2074	1
ref_mOTU_v31_05160	Microbacterium sp. CSI-V	1933777	1
ref_mOTU_v31_05168	Microbacterium enclense	993073	1
ref_mOTU_v31_05189	Chryseobacterium indoltheticum	254	1
ref_mOTU_v31_05294	Sanguibacter sp. Leaf3	1736209	1
ref_mOTU_v31_05301	Frigoribacterium sp. [Frigoribacterium sp. Leaf172/Frigoribacterium sp. Leaf263]	NA	1
ref_mOTU_v31_05307	Rathayibacter sp. [Rathayibacter sp. Leaf296/Rathayibacter sp. Leaf299/Rathayibacter sp. VKM Ac-2630]	NA	1
ref_mOTU_v31_05310	Aeromicrobium sp. [Aeromicrobium sp. Leaf245/Aeromicrobium sp. Leaf272/Aeromicrobium sp. Leaf289/Aeromicrobium sp. Leaf291]	NA	1
ref_mOTU_v31_05316	Nocardioides sp. [Nocardioides sp. Leaf285/Nocardioides sp. Leaf307]	NA	1
ref_mOTU_v31_05373	Microterricola viridarii	412690	1
ref_mOTU_v31_06277	Stenotrophomonas maltophilia/chelatiphaga	NA	2
ref_mOTU_v31_06524	Psychrobacter sp. DAB_AL43B	1028416	1
ref_mOTU_v31_07231	Massilia yuzhufengensis	1164594	1
ref_mOTU_v31_08105	Knoellia aerolata	442954	1
ref_mOTU_v31_08427	Arthrobacter sp. L77	1496689	1
ref_mOTU_v31_08438	Planococcus massiliensis	1499687	1
ref_mOTU_v31_08780	Cnuibacter physcomitrellae	1619308	1
ref_mOTU_v31_09215	Massilia sp. Leaf139	1736272	1
ref_mOTU_v31_09216	Frigoribacterium sp. Leaf164	1736282	1
ref_mOTU_v31_09219	Sphingomonas sp. Leaf231	1736301	1
ref_mOTU_v31_09220	Arthrobacter sp. Leaf234	1736303	1
ref_mOTU_v31_10123	Agrococcus sp. Marseille-P2731	1841862	1
ref_mOTU_v31_10358	Microbacterium sp. 69-10	1895783	1
ref_mOTU_v31_10359	Microbacterium sp. 70-16	1895785	1
ref_mOTU_v31_10768	Psychrobacter alimentarius	261164	2
ref_mOTU_v31_11119	Agrococcus jejuensis	399736	1
ref_mOTU_v31_11222	Cellulomonas flavigena	1711	1
ext_mOTU_v31_17345	Flavobacteriaceae species incertae sedis	NA	1
ext_mOTU_v31_24784	Nocardioides species incertae sedis	NA	1
ext_mOTU_v31_24785	Nocardioides species incertae sedis	NA	1
ext_mOTU_v31_26688	Exiguobacterium species incertae sedis	NA	2
ext_mOTU_v31_28166	Sphingomonas species incertae sedis	NA	1
unassigned	unassigned	NA	1
