#mOTU	consensus_taxonomy	NCBI_tax_id	PV174
ref_mOTU_v31_00060	Cronobacter sakazakii	28141	1
ref_mOTU_v31_01848	Pantoea sp. [Pantoea sp. 9140/Pantoea sp. MBLJ3/Pantoea sp. CFSAN033090/Pantoea sp. OV426/Pantoea vagans/Pantoea sp. aB/Pantoea agglomerans/Pantoea ananatis]	NA	1
ref_mOTU_v31_02650	Acinetobacter lwoffii [Acinetobacter sp. CIP 101966/Acinetobacter sp. CIP 102136/Acinetobacter sp. CIP 51.11/Acinetobacter sp. CIP 64.7/Acinetobacter sp. CIP A162/Acinetobacter sp. 51m/Acinetobacter sp. AR2-3/Acinetobacter lwoffii]	28090	1
ref_mOTU_v31_03337	Yoonia rosea	287098	4
ref_mOTU_v31_09214	Pseudomonas sp. Leaf127	1736267	1
