#mOTU	consensus_taxonomy	NCBI_tax_id	PV010bgi
ref_mOTU_v31_00457	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40	1797569	13
ref_mOTU_v31_00473	Variovorax paradoxus [Variovorax sp. PDC80/Variovorax paradoxus]	34073	1
ref_mOTU_v31_01693	Bradyrhizobium viridifuturi/tropiciagri	NA	1
