#mOTU	consensus_taxonomy	NCBI_tax_id	PV257
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01128	Methylobacterium sp. [Methylobacterium sp. Leaf87/Methylobacterium sp. Leaf100/Methylobacterium sp. Leaf102/Methylobacterium sp. Leaf112/Methylobacterium sp. Leaf469]	NA	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	4
ref_mOTU_v31_03289	Agrobacterium rubi	28099	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04744	Rhizobium sp. NFR03	1566263	1
ref_mOTU_v31_05312	Rhizobium sp. Leaf311	1736332	1
ref_mOTU_v31_05329	Aureimonas sp. [Aureimonas sp. Leaf427/Aureimonas sp. Leaf460]	NA	1
ref_mOTU_v31_05459	Oscillatoria nigro-viridis	482564	1
ext_mOTU_v31_18808	Sphingomonas species incertae sedis	NA	1
ext_mOTU_v31_31414	Nocardioides species incertae sedis	NA	1
unassigned	unassigned	NA	1
