#mOTU	consensus_taxonomy	NCBI_tax_id	PV023
ref_mOTU_v31_00095	Escherichia coli	562	1
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	1
ref_mOTU_v31_00800	Cutibacterium acnes [Propionibacterium sp. CC003-HC2/Propionibacterium sp. KPL1847/Propionibacterium sp. KPL1849/Propionibacterium sp. KPL1854/Propionibacterium sp. KPL2003/Propionibacterium sp. KPL2008/Propionibacterium sp. KPL2009/Propionibacterium sp. MB3007/Propionibacterium sp. HMSC068C01/Propionibacterium sp. HMSC078F01/Propionibacterium sp. HMSC069G10/Propionibacterium sp. HMSC065F07/Propionibacterium sp. HMSC078F10/Propionibacterium sp. HMSC067A02/Propionibacterium sp. HMSC075A12/Propionibacterium sp. HMSC067A01/Propionibacterium sp. HMSC062D02/Propionibacterium sp. HMSC062D05/Cutibacterium acnes/Propionibacterium sp. CG1_02_60_36/Propionibacterium sp. 5_U_42AFAA/Propionibacterium sp. 409-HC1/Propionibacterium sp. 434-HC2]	1747	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	3
ref_mOTU_v31_04744	Rhizobium sp. NFR03	1566263	1
ref_mOTU_v31_05302	Pedobacter sp. Leaf176	1736286	1
ref_mOTU_v31_05459	Oscillatoria nigro-viridis	482564	1
ref_mOTU_v31_08406	Hymenobacter sp. PAMC 26554	1484116	1
ref_mOTU_v31_09213	Pedobacter sp. Leaf41	1736218	1
ref_mOTU_v31_09230	Modestobacter sp. Leaf380	1736356	1
ref_mOTU_v31_11077	Pedobacter sp. BAL39	391596	1
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	2
unassigned	unassigned	NA	1
