#mOTU	consensus_taxonomy	NCBI_tax_id	PV060
ref_mOTU_v31_00126	Pseudomonas sp. [Pseudomonas sp. 25 E 4/Pseudomonas trivialis/Pseudomonas poae/Pseudomonas fluorescens]	NA	1
ref_mOTU_v31_00201	Pseudomonas aeruginosa	287	3
ref_mOTU_v31_00521	Duganella zoogloeoides/phyllosphaerae [Duganella sp. Leaf61/Duganella zoogloeoides/Duganella phyllosphaerae]	NA	1
ref_mOTU_v31_01121	Methylobacterium sp. [Methylobacterium sp. Leaf86/Methylobacterium sp. Leaf91]	NA	1
ref_mOTU_v31_01338	Sphingomonas sp. [Sphingomonas sp. Leaf230/Sphingomonas sp. OK281]	NA	1
ref_mOTU_v31_01339	Sphingomonas sp. Leaf208	1735679	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	3
ext_mOTU_v31_18697	Lactobacillus species incertae sedis	NA	1
