#mOTU	consensus_taxonomy	NCBI_tax_id	PV007bgi
ref_mOTU_v31_01689	Bradyrhizobium elkanii [Bradyrhizobium sp. OHSU_III/Bradyrhizobium elkanii]	29448	1
ref_mOTU_v31_01691	Bradyrhizobium embrapense	630921	1
ref_mOTU_v31_01693	Bradyrhizobium viridifuturi/tropiciagri	NA	1
ref_mOTU_v31_01696	Bradyrhizobium sp. th.b2	172088	1
ref_mOTU_v31_03148	uncultured Clostridium sp.	59620	329
