Library code;Host taxon;Habitat;Collection code;Original filename;Read pairs;QC reads;Raw BLAST count;6C count;% Viral QC
PV270;Asparagus acutifolius;Wasteland;E4F;PV270_31184_TGGATT;27813870;16649565;3486;138;0.00082885
PV277;Anacyclus clavatus;Wasteland;E1P;PV277_31188_TCATAC;34959273;22121385;1861;6;2.71231E-05
PV296;Stipa parviflora;Wasteland;E1P;PV296_31200_CCGGTT;23005253;13802985;15;NA;NA
PV298;Teucrium capitatum;Wasteland;E1P;PV298_31217_TTAGTT;29492013;18004104;1670;NA;NA
PV306;Asteriscus aquaticus;Wasteland;E2P;PV306_31190_CCGTTG;32964949;19663234;2202;38;0.000193254
PV312;Centaurea melitensis;Wasteland;E2P;PV312_31189_CAGGAC;32479626;21299665;1228;2;9.38982E-06
PV313;Centranthus calcitrapae;Wasteland;E2P;PV313_31183_GTCGCG;28834363;18531622;3287;560;0.003021862
PV330;Phlomis lychnitis;Wasteland;E2P;PV330_31216_ATAGGA;26322512;15926372;2404;8;5.02312E-05
PV350;Erodium cicutarium;Wasteland;E3P;PV350_31174_CGCAGG;30992533;20224311;19;NA;NA
PV352;Eryngium campestre;Wasteland;E3P;PV352_31179_TGACTT;37594099;23026834;1546;14;6.07986E-05
PV356;Hordeum matritense;Wasteland;E3P;PV356_31211_TAAGAT;25818238;15321006;122;46;0.000300241
PV359;Medicago sp;Wasteland;E3P;PV359_31218_GCTAAC;24308558;14752255;762;2;1.35572E-05
PV369;Teucrium pseudochamaepitys;Wasteland;E3P;PV369_31176_GGAGCC;28606062;17545114;3234;2;1.13992E-05
PV380;Dactylis glomerata;Wasteland;E4P;PV380_31214_TAGTCG;23976110;13812976;67;26;0.000188229
PV386;Papaver rhoeas;Wasteland;E4P;PV386_31177_ATCTTG;38954235;22974215;136175;5400;0.023504612
PV390;Thapsia villosa;Wasteland;E4P;PV390_31196_CAGAGA;27011289;17526407;285;16;9.12908E-05
PV418;Aristolochia pistolochia;Oak;Q1P;PV418_31181_ACTTAC;22304258;12896370;22650;7156;0.055488482
PV421;Asteriscus aquaticus;Oak;Q1P;PV421_31185_AGTTGC;31820439;18729168;2842;2;1.06785E-05
PV423;Bromus sp;Oak;Q1P;PV423_31205_TTCTGG;23219867;13511330;91;20;0.000148024
PV426;Erodium cicutarium;Oak;Q1P;PV426_31195_AGGATC;31445784;18760431;63;28;0.00014925
PV428;Hordeum matritense;Oak;Q1P;PV428_31201_CATTCG;24707892;14777295;31;6;4.06028E-05
PV430;Papaver rhoeas;Oak;Q1P;PV430_31197_TGCGTC;26269848;16770180;1272;10;5.96297E-05
