species name;collection;site
Jasminum_fruticans;Q3P2;Q3
Lavandula_latifolia;Q3P2;Q3
Quercus_coccifera;Q3P2;Q3
Quercus_faginea;Q3P2;Q3
Quercus_ilex;Q3P2;Q3
Rhamnus_lycioides;Q3P2;Q3
Rubia_peregrina;Q3P2;Q3
Saponaria_ocymoides;Q3P2;Q3
Serratula_pinnatifida;Q3P2;Q3
Staehelina_dubia;Q3P2;Q3
Teucrium_chamaedrys;Q3P2;Q3
Thymus_vulgaris;Q3P2;Q3
Agrimonia_eupatoria;Q4F;Q4
Astragalus_incanus;Q4F;Q4
Avenula_bromoides;Q4F;Q4
Bupleurum_rigidum;Q4F;Q4
Centaurea_alba;Q4F;Q4
Colutea_arborescens;Q4F;Q4
Crataegus_monogyna;Q4F;Q4
Galium_verum;Q4F;Q4
Genista_scorpius;Q4F;Q4
Jasminum_fruticans;Q4F;Q4
Lavandula_latifolia;Q4F;Q4
Lotus_corniculatus;Q4F;Q4
Odontites_luteus;Q4F;Q4
Quercus_faginea;Q4F;Q4
Quercus_ilex;Q4F;Q4
Rosa_sp;Q4F;Q4
Teucrium_capitatum;Q4F;Q4
Thymus_vulgaris;Q4F;Q4
Agrimonia_eupatoria;Q4F2;Q4
Astragalus_incanus;Q4F2;Q4
Bassia_prostrata;Q4F2;Q4
Bupleurum_rigidum;Q4F2;Q4
Centaurea_calcitrapa;Q4F2;Q4
Coris_monspeliensis;Q4F2;Q4
Crataegus_monogyna;Q4F2;Q4
Dactylis_glomerata;Q4F2;Q4
Dorycnium_pentaphyllum;Q4F2;Q4
Euphorbia_serrata;Q4F2;Q4
Galium_verum;Q4F2;Q4
Genista_scorpius;Q4F2;Q4
Helianthemum_asperum;Q4F2;Q4
Helianthemum_cinereum;Q4F2;Q4
Quercus_faginea;Q4F2;Q4
Quercus_ilex;Q4F2;Q4
Rosa_sp;Q4F2;Q4
Teucrium_capitatum;Q4F2;Q4
Thymus_vulgaris;Q4F2;Q4
Alyssum_minus;Q4P;Q4
Aphyllanthes_monspeliensis;Q4P;Q4
Astragalus_incanus;Q4P;Q4
Bromus_sp;Q4P;Q4
Bupleurum_rigidum;Q4P;Q4
Centaurea_sp;Q4P;Q4
Crataegus_monogyna;Q4P;Q4
Dactylis_glomerata;Q4P;Q4
Eryngium_campestre;Q4P;Q4
Galium_verum;Q4P;Q4
Genista_hirsuta;Q4P;Q4
Geranium_sp;Q4P;Q4
Helianthemum_cinereum;Q4P;Q4
Helianthemum_hirtum;Q4P;Q4
Linum_suffruticosum;Q4P;Q4
Lithodora_fruticosa;Q4P;Q4
Lotus_corniculatus;Q4P;Q4
Melilotus_sp;Q4P;Q4
Quercus_coccifera;Q4P;Q4
Quercus_ilex;Q4P;Q4
Rubia_peregrina;Q4P;Q4
Salvia_verbenaca;Q4P;Q4
Thymus_vulgaris;Q4P;Q4
Astragalus_hamosus;Q4P2;Q4
Bupleurum_rigidum;Q4P2;Q4
Centaurea_aspera;Q4P2;Q4
Cistus_salviifolius;Q4P2;Q4
Colutea_arborescens;Q4P2;Q4
Crataegus_monogyna;Q4P2;Q4
Cynosurus_echinatus;Q4P2;Q4
Eryngium_campestre;Q4P2;Q4
Galium_verum;Q4P2;Q4
Genista_scorpius;Q4P2;Q4
Helianthemum_cinereum;Q4P2;Q4
Helianthemum_hirtum;Q4P2;Q4
Jasione_sp;Q4P2;Q4
Lavandula_latifolia;Q4P2;Q4
Leontodon_sp;Q4P2;Q4
Lotus_corniculatus;Q4P2;Q4
Quercus_coccifera;Q4P2;Q4
Quercus_faginea;Q4P2;Q4
Quercus_ilex;Q4P2;Q4
Teucrium_chamaedrys;Q4P2;Q4
Teucrium_scordium;Q4P2;Q4
Thapsia_villosa;Q4P2;Q4
Thymus_vulgaris;Q4P2;Q4
Carduus_bourgeanus;Z1V;Z1
Chenopodium_album;Z1V;Z1
Convolvulus_arvensis;Z1V;Z1
Datura_stramonium;Z1V;Z1
Diplotaxis_erucoides;Z1V;Z1
Lactuca_serriola;Z1V;Z1
Milium_vernale;Z1V;Z1
Phalaris_minor;Z1V;Z1
Raphanus_sp;Z1V;Z1
Xanthium_strumarium;Z1V;Z1
Zea_mays;Z1V;Z1
Chrozophora_tinctoria;Z2V;Z2
Convolvulus_arvensis;Z2V;Z2
Cynodon_dactylon;Z2V;Z2
Desconocida_4;Z2V;Z2
Diplotaxis_erucoides;Z2V;Z2
Heliotropium_europaeum;Z2V;Z2
Lithospermum_arvense;Z2V;Z2
Picris_echioides;Z2V;Z2
Portulaca_oleraceae;Z2V;Z2
Xanthium_strumarium;Z2V;Z2
Zea_mays;Z2V;Z2
Convolvulus_arvensis;Z3V;Z1
Datura_stramonium;Z3V;Z1
Helichrysum_stoechas;Z3V;Z1
Sorghum_halepense;Z3V;Z1
Zea_mays;Z3V;Z1
Datura_stramonium;Z4V;Z2
Salsola_kali;Z4V;Z2
Scabiosa_sicula;Z4V;Z2
Sorghum_halepense;Z4V;Z2
Staria_pumila;Z4V;Z2
Zea_mays;Z4V;Z2
