TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
1090319	SAMN02441573	Sphingomonas phyllosphaerae FA2		
33051	SAMN03401383	Sphingomonas sanguinis		
1735676	SAMN04151579	Sphingomonas sp. Leaf10		
1735683	SAMN04151584	Sphingomonas sp. Leaf17		
1736299	SAMN04151679	Sphingomonas sp. Leaf198		
1735685	SAMN04151585	Sphingomonas sp. Leaf20		
1735679	AMN0415 683	Sphingomonas sp. Leaf208		
1735689	SAMN04151587	Sphingomonas sp. Leaf23		
1736301	SAMN04151691	Sphingomonas sp. Leaf231		
1735690	SAMN04151588	Sphingomonas sp. Leaf24		
1735695	SAMN04151591	Sphingomonas sp. Leaf28		
1736213	SAMN04151593	Sphingomonas sp. Leaf30		
1736214	SAMN04151594	Sphingomonas sp. Leaf32		
1736215	SAMN04151595	Sphingomonas sp. Leaf33		
1736343	SAMN04151733	Sphingomonas sp. Leaf339		
1736345	SAMN04151735	Sphingomonas sp. Leaf343		
1736350	SAMN04151740	Sphingomonas sp. Leaf357		
1736217	SAMN04151597	Sphingomonas sp. Leaf38		
1736369	SAMN04151759	Sphingomonas sp. Leaf407		
1736370	SAMN04151760	Sphingomonas sp. Leaf412		
1736230	SAMN04151610	Sphingomonas sp. Leaf67		
1390395	SAMN04390191	Sphingomonas sp. LK11		
1881067	SAMN05428984	Sphingomonas sp. OK281		
1736501	SAMN04155770	Sphingomonas sp. Root241		
1736594	SAMN04155863	Sphingomonas sp. Root710		
1736595	SAMN04155864	Sphingomonas sp. Root720		
1166340	SAMN05192583	Sphingomonas sp. S6-262		
1549858	SAMN03078686	Sphingomonas taxi		
267128	SAMN03653364	Sphingopyxis granuli		
1736474	SAMN04155743	Sphingopyxis sp. Root1497		
1736476	SAMN04155745	Sphingopyxis sp. Root154		
2133	AMN0411 376	Spiroplasma citri	P	
273035	AMN0326 975	Spiroplasma kunkelii CR2-3x		
246432	AMN0419 999	Staphylococcus equorum		
1283	AMN0343 301	Staphylococcus haemolyticus		
1288	AMN0438 932	Staphylococcus xylosus		
336566	SAMN03701688	Stenotrophomonas ginsengisoli		
266128	SAMN03701670	Stenotrophomonas koreensis		
40324	SAMN02874005	Stenotrophomonas maltophilia		
40324	SAMN03280975	Stenotrophomonas maltophilia		
40324	SAMN04207798	Stenotrophomonas maltophilia		
40324	SAMN04487782	Stenotrophomonas maltophilia		
40324	SAMN05188928	Stenotrophomonas maltophilia		
40324	SAMN06040735	Stenotrophomonas maltophilia		
40324	SAMN06130959	Stenotrophomonas maltophilia		
391008	SAMN00623065	Stenotrophomonas maltophilia R551-3		
1210005	SAMN02469568	Stenotrophomonas maltophilia S028		
83617	SAMN03701629	Stenotrophomonas nitritireducens		
83617	SAMN05428703	Stenotrophomonas nitritireducens		
676599	SAMN04207867	Stenotrophomonas panacihumi		
216778	SAMN02727981	Stenotrophomonas rhizophila		
216778	SAMN05276013	Stenotrophomonas rhizophila		
1904944	SAMN05818440	Stenotrophomonas sp. LM091		
42234	AMN0292 998	Streptomyces acidiscabies		
1888	AMD0002 485	Streptomyces albus		
1888	AMN0328 748	Streptomyces albus		
1888	AMN0405 756	Streptomyces albus		
500153	AMN0264 236	Streptomyces avicenniae		
661399	AMN0419 355	Streptomyces caeruleatus		
1172567	AMN0246 977	Streptomyces globisporus C-1027		
146922	AMN0623 792	Streptomyces griseofuscus		
67304	AMN0419 351	Streptomyces griseorubiginosus		
864058	AMN0325 380	Streptomyces kebangsaanensis		
1930	AMN0292 996	Streptomyces scabiei	P	
1930	AMN0292 997	Streptomyces scabiei	P	
85558	AMD0003 891	Streptomyces turgidiscabies		
943830	SAMN04590170	Tardiphaga robiniae		
1855306	SAMN05216367	Tardiphaga sp. OK245		
642227	SAMN02905535	Tatumella morbirosei	P	
1283284	SAMN02597189	Tolumonas lignilytica		
28094	SAMN06295900	Trinickia caryophylli	P	
667632	SAMN02441378	Trinickia symbiotica		S
34073	SAMN03267909	Variovorax paradoxus		
34073	SAMN04146763	Variovorax paradoxus		
34073	SAMN04545447	Variovorax paradoxus		
1157708	SAMN02440495	Variovorax paradoxus 110B		
595537	SAMN00149467	Variovorax paradoxus EPS		
543728	SAMN02598472	Variovorax paradoxus S110		
1736530	SAMN04155799	Variovorax sp. Root411		
1882831	SAMN05444156	Verrucomicrobium sp. GAS474		
1123497	SAMN02745802	Vibrio rhizosphaerae DSM 18581		
1736349	SAMN04151739	Williamsia sp. Leaf354		
1940240	SAMN06322269	Wohlfahrtiimonas populi		
29447	SAMN03263614	Xanthomonas albilineans	P	
56448	SAMN03352184	Xanthomonas arboricola	P	
1185660	SAMN01090305	Xanthomonas axonopodis pv. manihotis str. CIO151	P	
325777	SAMN02854335	Xanthomonas axonopodis pv. vasculorum	P	
56449	SAMEA4051541	Xanthomonas bromi	P	
339	SAMN03470070	Xanthomonas campestris	P	
340	SAMN03580360	Xanthomonas campestris pv. campestris	P	
1885902	SAMN03092876	Xanthomonas cannabis pv. phaseoli	P	
1219375	SAMN02469933	Xanthomonas cassavae CFBP 4642	P	
346	SAMN02903999	Xanthomonas citri	P	
456327	SAMN05823152	Xanthomonas euvesicatoria	P	
1843580	SAMN04922374	Xanthomonas floridensis	P	
48664	SAMN05505397	Xanthomonas fragariae	P	
90270	SAMN05823150	Xanthomonas hortorum pv. gardneri	P	
1843581	SAMN04922375	Xanthomonas nasturtii	P	
64187	SAMN04306146	Xanthomonas oryzae pv. oryzae	P	
342109	SAMD00061078	Xanthomonas oryzae pv. oryzae MAFF 311018	P	
1437877	SAMN04481176	Xanthomonas phaseoli pv. dieffenbachiae LMG 695	P	
56458	SAMN03273272	Xanthomonas sacchari	P	
1583099	SAMN03263616	Xanthomonas sp. GPE 39	P	
1736270	SAMN04151650	Xanthomonas sp. Leaf131	P	
1736275	SAMN04151655	Xanthomonas sp. Leaf148	P	
487909	SAMN02797519	Xanthomonas translucens pv. undulosa	P	
56459	SAMN03140188	Xanthomonas vasicola	P	
56460	SAMN05823142	Xanthomonas vesicatoria	P	
698414	SAMN06765826	Xylella fastidiosa subsp. pauca	P	
1444770	SAMN02570451	Xylella taiwanensis	P	
1735686	SAMN04151686	Xylophilus sp. Leaf220		
1288385	SAMEA1486427	Yersinia pekkanenii		
1123510	SAMN02952986	Zymobacter palmae DSM 10491		
