TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
1116391	SAMN02603387	Paenibacillus mucilaginosus 3016		
1844972	SAMN04954875	Paenibacillus oryzae		
1472	SAMN05929605	Paenibacillus pabuli		
1349782	SAMD00034166	Paenibacillus pabuli NBRC 13638		
1122924	SAMN02440803	Paenibacillus pinihumi DSM 23905 = JCM 16419		
1406	SAMN03165199	Paenibacillus polymyxa		
1406	SAMN05981093	Paenibacillus polymyxa		
483937	SAMN04005682	Paenibacillus riograndensis		
1268072	SAMN03081446	Paenibacillus sabinae T27		
1761874	SAMN04488601	Paenibacillus sp. 453mf		
1761878	SAMN04488689	Paenibacillus sp. cl6col		
1736234	SAMN04151614	Paenibacillus sp. Leaf72		
1349434	SAMN04589846	Paenibacillus sp. P32E		
1736538	SAMN04155807	Paenibacillus sp. Root444D2		
1736552	SAMN04155821	Paenibacillus sp. Root52		
985665	SAMN02603583	Paenibacillus terrae HPL-003		
1174501	SAMN05216192	Paenibacillus typhae		
1586708	SAMN05226146	Pandoraea sp. ISTKB		
445709	SAMN03754653	Pandoraea thiooxydans		
549	SAMN05444153	Pantoea agglomerans	P	
1891675	SAMN06329872	Pantoea alhagi		
574096	SAMN05908195	Pantoea allii	P	
553	SAMN04445753	Pantoea ananatis	P	
470931	SAMN03320104	Pantoea anthophila		
55209	SAMN05915831	Pantoea cypripedii	P	
59814	SAMN03401410	Pantoea dispersa		
1076549	SAMN05907788	Pantoea rodasii		
1076550	SAMN03031199	Pantoea rwandensis		
1076550	SAMN05907793	Pantoea rwandensis		
472695	SAMEA3138967	Pantoea septica		
1925589	SAMN06111205	Pantoea sp. 1.19		
660596	SAMN05761485	Pantoea stewartii subsp. stewartii DC283	P	
470934	SAMN03068907	Pantoea vagans		
1076551	SAMN05907794	Pantoea wallisii		
1218074	SAMD00000367	Paraburkholderia acidipaludis NBRC 101816		
1218075	SAMD00000368	Paraburkholderia bannensis NBRC 103871		
416943	SAMN05445871	Paraburkholderia caballeronis		
75105	SAMN04031629	Paraburkholderia caribensis		
667676	SAMN05192539	Paraburkholderia diazotrophica		
948106	SAMN02440790	Paraburkholderia dilworthii		
1462439	SAMN04902945	Paraburkholderia ginsengiterrae		
1268285	SAMN02470060	Paraburkholderia kururiensis M130		
1038869	SAMN02440713	Paraburkholderia mimosarum LMG 23256 = NBRC 106338		
392320	SAMN05514346	Paraburkholderia nodosa		
1229205	SAMN02603523	Paraburkholderia phenoliruptrix BR3459a		
391038	SAMN02598384	Paraburkholderia phymatum STM815		
398527	SAMN02598395	Paraburkholderia phytofirmans PsJN		
1247936	SAMEA3512853	Paraburkholderia ribeironis		
640511	SAMN02598517	Paraburkholderia sp. CCGE1002		
1926494	SAMN06114787	Paraburkholderia sp. SOS3		
754502	SAMN05846344	Paraburkholderia sprentiae WSM5005		
169427	SAMN05192548	Paraburkholderia terricola		
92647	SAMN05216550	Paraburkholderia tropica		
157910	SAMN05445850	Paraburkholderia tuberum		
690417	AMN0292 208	Paracoccus sphaerophysae		
1799789	SAMN04487161	Paraglaciecola hydrolytica		
1612624	SAMN03877108	Pararhizobium polonicum		S
29471	SAMN02797737	Pectobacterium atrosepticum	P	
55207	SAMN02999474	Pectobacterium betavasculorum	P	
180957	SAMN06605957	Pectobacterium brasiliense	P	
554	SAMN03154070	Pectobacterium carotovorum	P	
561230	SAMN02598478	Pectobacterium carotovorum subsp. carotovorum PC1	P	
1166016	SAMN02604188	Pectobacterium parmentieri	P	
1736286	AMN0415 666	Pedobacter sp. Leaf176		
1736297	AMN0415 677	Pedobacter sp. Leaf194		
1735684	AMN0415 685	Pedobacter sp. Leaf216		
1736218	AMN0415 598	Pedobacter sp. Leaf41		
1736430	SAMN04155699	Pelomonas sp. Root1217		
1736434	SAMN04155703	Pelomonas sp. Root1237		
